zh,en
38 岁的王美余今年七月曾在湖南省公安厅门外举牌请愿，要求习近平和中国总理李克强下台，并在中国境内实行普选制度。警方随后指控其“涉嫌寻衅滋事”，此项罪名定义含糊，许多持不同政见者曾因此入狱。,"Wang Meiyu, 38, was detained in July after he stood outside the Hunan provincial police department holding a sign that called on Xi and Chinese premier Li Keqiang to resign and implement universal suffrage in China. He was later charged with ""picking quarrels and provoking trouble,"" a vague offence often given to dissidents."
在斯巴鲁望远镜绘制的宇宙地图上，团队发现了一个疑似原星团星系 z66OD，该星系的密度是那个时代正常星系的 15 倍。随后，团队利用凯克天文台和北双子座望远镜进行了后续的光谱观测，确认了这 12 个星系存于 130 亿年前，是迄今为止已知的最古老的原星系团。,"In the map of the Universe made by the Subaru Telescope, the team discovered a protocluster candidate, z66OD, where galaxies are 15 times more concentrated than normal for that era. The team then conducted follow-up spectroscopic observations using the W.M. Keck Observatory and Gemini North telescope, and confirmed 12 galaxies which existed 13.0 billion years ago, making it the earliest protocluster known to date."
从 6 月份开始，年轻人主要抗议引渡法案，政府现在已经同意撤回该法案。但自那以来，该抗议活动吸引了更多的参与者，滚雪球般演变为一场更大的反对中国政府的运动，反对抗议者所说的北京方面正在悄悄侵扰香港的自治权；香港曾是英国的殖民地，其主权 1997 年回归中国，当时中国政府承诺对香港实行自治。,Young people have largely led the protests that started in June over an extradition bill that the government has now agreed to withdraw. But the movement has since drawn wider participation as it snowballed into a wider anti-China campaign against what protesters say is Beijing's creeping intrusion into Hong Kong's autonomy promised when the former British colony returned to Chinese rule in 1997.
她跟主持人坎摩尔说道：“我不在乎我这辈子已取得的成就，我得过一次艾美奖、一次奥斯卡奖、两次托尼奖，但如果我这次搞砸了，那将是我一生中的决定性时刻。”,"""I don't care what else I've done in my life ― I won an Emmy, I won an Oscar, two Tonys ― but if I mess this up, this'll be the defining moment in my life,"" she told host Kimmel."
然而，28 岁的特里斯坦拒绝轻易放弃 -在他前女友的最新自拍上留下了令人尴尬的溢美之词。,"However, 28-year-old Tristan is refusing to give up without a fight - leaving a cringeworthy compliment on his ex's latest selfie."
2019 年 4 月 3 日，在美国华盛顿国会山，联邦紧急事务管理署代理署长彼得·盖纳面带微笑，在参议院拨款委员会国土安全小组委员会举行的关于 2020 财年该署预算请求的听证会上作证。,"Federal Emergency Management Agency (FEMA) Acting Administrator Peter Gaynor smiles as he testifies before a Senate Appropriations Homeland Security Subcommittee hearing on FEMA's FY2020 budget request on Capitol Hill in Washington, U.S., April 3, 2019."
鲁比在此之前曾产下两个雄性幼崽，分别是 2015 年的伊恩和 2017 年的艾伦。艾伦还留在公园，而伊恩则在意大利的都灵动物园,"Ruby has had two boys before, Ian in 2015 and Alan in 2017. Alan is still at the park whilst Ian is in Torino Zoo in Italy"
鉴于美国的死亡率，苏格兰禁止雾化产品和电子烟广告,US deaths could result in Scottish ban on vaping and e-cigarette ads
谷歌推出其 21 岁周年庆涂鸦：你所不知的故事,Google Marks Its 21st Birthday With a Doodle: All You Need to Know
这颗名为 GJ 3512 的恒星质量约为太阳的 12%，而围绕其运行的行星的质量几乎是木星（太阳系最大的行星）的一半。,"The star, called GJ 3512, is about 12% the size of our sun, while the planet that orbits it has a mass of at least about half of Jupiter, our solar system's largest planet."
据路透社报道，鲁哈尼在其官方网站上表示，“德国总理、英国首相和法国总统都在纽约，他们都坚持召开此次会议。美国表示将取消制裁。”“未来将取消哪些制裁仍然有待讨论，但他们（美国）明确表示要取消所有制裁。”,"""The German chancellor, the prime minister of England (Britain) and the president of France were in New York and all insisted that this meeting take place. And America says that it will lift the sanctions,"" Rouhani said on his official website, according to Reuters. ""It was up for debate what sanctions will be lifted and they (the United States) had said clearly that we will lift all sanctions."""
9 月 14 日，一系列无人机袭击了沙特阿拉伯的石油设施，迫使该国将石油产量减半，之后鲁哈尼对此发表评论。美国和部分欧洲国家以及沙特阿拉伯将此次袭击事件归咎于伊朗。德黑兰否认自身在此次事件中发挥了任何作用。特朗普政府还宣布计划将美军部署到该地区。,"Rouhani's comment came after a series of drones attacked oil facilities in Saudi Arabia on Sept. 14, which had forced the kingdom to cut production in half. The U.S. and some European countries, as well as Saudi Arabia, have blamed the attack on Iran. Tehran has denied any role in the incident. The Trump administration also announced plans to deploy U.S. forces to the region."
当我们在庆祝一位非凡人物诞辰 150 周年时，世界上最大的两个民主国家的领导人更应该听从他所践行的原则。,The leaders of the world's two largest democracies need to heed the principles of a remarkable man whose 150th birthday we are currently celebrating.
这位喜剧演员提到特朗普访问德克萨斯州埃尔帕索市某家医院的情景，周末发生的大规模枪击事件的受害者就在这家医院接受治疗，而他的竞选活动因 2 月的一次政治集会而仍欠该市 50 多万美元。,"The comedian noted how Trump had visited the El Paso, Texas, hospital where victims of the weekend's mass shooting are being treated while his campaign still owed the city more than half a million dollars for a political rally in February."
与此同时，特朗普律师杰伊·塞库洛淡化了记录保存细节的重要性。,"Meanwhile, Trump lawyer Jay Sekulow downplayed the importance of the record-keeping details."
她对记者说道：“我是说，如果你们能告诉我是怎么造成损坏的，我将不胜感激。我一直是个内心有复仇欲的人。也许我十分坚强。但我不知道。”,"""I mean, I guess if you could tell me, I would appreciate it,"" she told reporters. ""I mean, I have always been an Avenger in my heart. Maybe I'm super strong. I don't know."""
英国制药工业协会的理查德·托贝特博士则表示，尽管各家企业都在为脱欧做准备，但“有些事是不受企业控制的”。,"Dr. Richard Torbett of the Association of the British Pharmaceutical Industry said that while companies have been working to prepare for Brexit, ""some things are outside of their control."""
皇家新闻：碧翠斯公主如何“愤怒地应对怀有敌意的家庭成员”,"Royal news: How Princess Beatrice ""reacted with fury at hostile family members"""
他声称，杰克逊在梦幻岛牧场虐待儿童是“不可能的”，因为他“几乎”都不待在农场。,"He claimed it would have been ""impossible"" for Jackson to have abused children at his Neverland ranch because he was ""hardly"" there."
在网络论坛上，志趣相投的人有时会用“查德”和“史黛西”作为轻蔑俚语，分别指代性生活更活跃的男性和女性。,"Like-minded people in internet forums sometimes use ""Chad"" and ""Stacy"" as dismissive slang for men and women with more active sex lives."
卡卢瓦博士指出，狂犬病等人畜共患疾病 99% 是通过狗传播给人类的，他补充道，控制并最终消除人类狂犬病的“健康一体”方法非常合宜。,"Dr Kaluwa noted that 99 per cent of zoonotic disease like rabies was transmitted from dogs to humans, adding that One Health approach to controlling and ultimately eliminating human rabies was expedient."
2012 年，汇丰银行由于未能阻止毒贩通过其墨西哥子公司进行洗钱活动，与美国当局达成一项 19 亿美元的和解协议。其中被迫在金融犯罪合规方面投资的数亿美元就是该协议的一部分。,HSBC was forced to invest hundreds of millions of dollars in financial crime compliance as part of a $1.9 billion settlement in 2012 with U.S. authorities over the bank's failure to prevent money laundering by drug cartels though its Mexican unit.
“斯特拉是南希和鲁比家的第六个孩子，我们的公牛蒙蒂已经被证明是一个出色的父亲。,"'Stella is the sixth youngster from Nancy and Ruby and our bull, Monty, has proved to be an excellent dad."
哈里王子承袭戴妃母志徒步穿越安哥拉雷区,Prince Harry walks across Angolan minefield to reconnect with Princes Diana's legacy
伊朗释放英国油轮斯坦纳·安普里奥,Iran releases British oil tanker Stena Impero
星期五，这五人在塞萨洛尼基地方法官面前均否认这一指控。其中两名格鲁吉亚国民被指控为主犯。,All five denied the charges before a Thessaloniki magistrate on Friday. The two Georgian nationals are accused of being the ringleaders.
米勒是匹兹堡人，他的真名是马尔科姆·詹姆斯·迈尔斯·麦考密克，米勒在歌词中坦诚讨论了他的抑郁和吸毒问题，这为他赢得了嘻哈乐坛的一些大牌粉丝。,"A Pittsburgh native whose real name was Malcolm James Myers McCormick, Miller's lyrics included frank discussion of his depression and drug use, earning him fans among some of the biggest names in hip-hop."
延长的季风季令农民们头疼不已。“每年这个时候雨这么大是不正常的。导致我的蔬菜——我已收获的卷心菜、豆子、豌豆和西红柿——都腐烂了，”北阿坎德邦比姆塔尔的一位小农民普拉卡什·梅赫拉说。,"The extended monsoon is not welcome among farmers. ""This amount of rain is not normal at this time of the year. It is making my vegetables - I've got cabbage, beans, peas and tomatoes at the moment - rot,"" said Prakash Mehra, a small farmer in Bhimtal in Uttarakhand."
同样在周五，近 300 名前美国外交政策和国土安全官员签署了一封支持弹劾调查的信。该联盟表示，特朗普的行动构成了“对国家安全的严重关切”。,"Also Friday, nearly 300 former U.S. foreign policy and national security officials signed a letter supporting the impeachment investigation. The coalition said Trump's actions constitute a ""profound national security concern."""
它还将为设计用于纳米技术和生物技术应用的新型分子容器提供指导，并将帮助科学家确定针对衣壳中蛋白质组装的特定策略。这可以为开发抗病毒疫苗提供更系统的方法。,"It will also provide a guide to engineer new molecular containers for nanotech and biotech applications, and it will help scientists to identify specific strategies to target the assembly of proteins in the capsid. This can eventually lead to a more systematic approach to developing antiviral vaccines."
912 人在拉纳克郡国民保健服务接受治疗 ，439 人在艾尔郡国民保健服务接受治疗 ，两者接受治疗的人数都是四年来最多的。,"NHS Lanarkshire treated 912 people and NHS Ayrshire 439, both four-year highs."
兽医服务主管阿西埃杜·巴阿博士惋惜地表示狂犬病已经成为全球负担。,"Director of Veterinary Service, Dr Asiedu Baah lamented that rabies had become global burden."
自从格蕾塔·通贝里在本国瑞典组织学生罢课抗议气候变化以来，她的环保运动就势不可挡；而星期一，她在联合国气候行动峰会义愤填膺、激情满怀的演讲将她的环保运动推向了顶峰；她猛烈地抨击那些政客用“空谈”偷走了她的“梦想”和“童年”，而人类正在目睹着一场“巨大的灭绝灾难”。,"In the year since she organized school walkouts in her native Sweden to protest climate change, Greta Thunberg's environmental crusade has been unavoidable, culminating on Monday in an angry and passionate speech before the UN's Climate Action Summit, in which she lambasted politicians for stealing her ""dreams"" and her ""childhood"" with ""empty words"" while humanity stares down ""a mass extinction."""
“六国中的三国 - 德国总理、英国首相和法国总统都坚持举行这次会议，表示美国会解除所有制裁，”伊朗总统说道。,"""Three out of the six countries, that is the chancellor of Germany, prime minister of Britain, and president of France, all insisted for the meeting to be held, saying that the US would lift all sanctions,"" stated the Iranian president."
就读于这所 12 年制私立基督学校的 12 岁学生阿玛丽·艾伦表示，这些男孩趁课间休息在操场上捉住她，说她的辫子又丑又卷，随后便剪断了她的辫子。,"Amari Allen, a 12-year-old student at the private K-12 Christian school, said the boys called her dreadlocks ""ugly"" and ""nappy"" before cutting them off on the playground during recess."
他解释道，通过“到 2030 年人类狂犬病零死亡”战略，支持各国制定并实施消除狂犬病国家计划，其中包括“健康一体概念”和跨部门合作。,"He explained that through the ""Zero human rabies deaths by 2030"" strategy, countries were supported to develop and implement their national rabies elimination plans that embrace the One Health Concept and cross sectoral collaboration."
红矮星质量都很小，表面温度比较低。GJ 3512 不但比太阳小很多，小到甚至可以与大一些的行星相比较，GJ 3512 只比木星大35%。,"Red dwarfs are small, with relatively low surface temperatures. GJ 3512 is not only much smaller than our sun, it is somewhat comparable in size to a very large planet, being only about 35% bigger than Jupiter."
在这充满争论的一周里，议员面临威胁和首相鲍里斯·约翰逊等的言论引发愤慨。,It was marked by threats against MPs and outrage over the language used by the likes of Prime Minister Boris Johnson.
鲁哈尼称：伊朗得到承诺美国将解除“所有”制裁以换取对话,"Iran was promised that 'all' US sanctions would be lifted in return for talks, Rouhani claims"
她说：“我们持谨慎态度，所以在苏格兰，我们已经采取了欧洲最严格的雾化产品监管方法。”,"""Our approach has been a precautionary one, which is why in Scotland we have already taken the strictest regulatory approach in Europe to vapour products,"" she said."
“这也许是电子烟在苏格兰尚未流行的一个原因。,"""That is perhaps a reason why e-cigarette use remains relatively low in Scotland."
“我感到紧张。我非常紧张，”戴维斯说，“我不在乎我这辈子还做过什么-- 我得过艾美奖，奥斯卡奖，两次托尼奖--但是如果这次我搞糟了，对我这辈子的影响将是巨大的。”,"""I'm terrified. I'm absolutely terrified,"" Davis said. ""I don't care what else I've done in my life -- I've won an Emmy, I've won an Oscar, two Tonys -- but if I mess this up, this is going to be a defining moment in my life."""
匈牙利总理维克托·奥尔班表示，在匈牙利的欧委会委员候选人提名被拒绝后，他“手头”有多项解决方案。,"Prime Minister Viktor Orban has said he has several solutions ""in his pocket"" after Hungary's candidate for the European Commission was rejected."
但是，也有一些人士敦促旅行乘客保持宽容。,"Others, though, castigated travellers for intolerance towards fellow passengers."
美国向沙特派遣部队，并部署防空系统以阻止伊朗的袭击,"US sends troops, air defense systems to Saudi Arabia to deter Iran attacks"
首席部长马玛塔·班纳吉最近宣布，维迪亚萨加在比尔辛哈普尔村出生地将建设成为一个教育旅游中心。,Chief Minister Mamata Banerjee had recently announced that Vidyasagar's birthplace at Birsinghapur village will be developed as an educational tourist hub.
美国国家飓风中心称，飓风洛伦佐星期四增强为 4 级飓风，飓风产生的巨浪可能影响向风群岛和南美洲的部分地区。,"Hurricane Lorenzo strengthened into a Category 4 storm Thursday, producing swells that could affect parts of the Windward Islands and South America, the National Hurricane Center said."
这些人从洛迪跳伞中心起飞。美国有线电视新闻网已联系该机构发表评论。,The group took off from the Lodi Parachute Center. CNN has reached out to the facility for comment.
2012 年，前警长肖恩·普莱斯因严重不当行为被解雇；记者的电话被非法监听后， 7 名警员正在接受调查，队伍中长期存在种族歧视的投诉。,"Former chief constable Sean Price was sacked for gross misconduct in 2012; seven officers were under investigation after journalists"" phones were unlawfully monitored, and there have been long-standing claims of racism within the ranks."
“我生来如此，我也没办法，”怀特赫斯特告诉《太阳报》。,"""I can't help the way I'm made,"" Whitehurst told the Sun."
4 月份，阿桑奇在被厄瓜多尔移交给英国当局后，随即被当局驱逐出大使馆。,"In April, Assange was dragged out of the embassy after being handed over to the British authorities by Ecuador."
与此同时，全美最大的连锁电影院、总部位于堪萨斯州的美国多厅式影院重申，影院禁止“面具、彩绘人脸或任何遮挡面部的物体”，但表示欢迎穿着戏服的观众观影。,"Meanwhile, Kansas-based AMC Theatres, the largest chain in the country, reiterated its ban on ""masks, face paint or any object that conceals the face,"" but said they will welcome viewers in costume."
伯利解释说：“俄勒冈州的劳工运动势头非常强劲，而且开展得确实非常彻底。这是全国劳动力增长浪潮的一部分。人们看到的是经济不稳定，实际工资在下降，而解决方案是在工作场所采取集体行动。”,"""Oregon has a really strong labor movement that is really building from the ground up,"" Burley explains. ""This is a part of the national wave of labor growth. People are seeing a precarious economy where real wages are falling and the solution is collective action in the workplace."""
史蒂文·沃尔特涉嫌销售掺有芬太尼的假冒的羟可酮药片，去年米勒因服用过量可卡因、酒精和强效阿片类药物导致意外死亡，在死亡之前他持有芬太尼。,"Steven Walter is suspected of selling counterfeit oxycodone pills laced with fentanyl that Miller possessed before he died of an accidental overdose last year of cocaine, alcohol and the powerful opioid."
根据英国政府预测的“合理的最坏”情形，药品运量在无协议脱欧的第一天可能减半，而且可能需要一年才能恢复。据说，如果要在 10 月底前解决运输问题，时间“极其紧迫”。,"According to the British government's ""reasonable worst-case"" scenario, the flow of goods could be cut by half on Day One of a no-deal Brexit and could take a year to recover. It said time was ""extremely limited"" if the shipping issues were to be resolved by the end of October."
圈养出生被认为是极其罕见的。雌性每 2 年半到 5 年才繁殖一次，所以成功繁殖的机会窗口是有限的。,"Births in captivity are considered extremely rare. Females only reproduce every two-and-a-half to five years, so the window of opportunity for successful reproduction is limited."
“我们不想让人们感觉用脸书是一场比赛，”,"""We don't want Facebook to feel like a competition,"" the company said in a statement."
佛罗里达州一名男子承认绑架了一名整形外科医生，并在敲诈勒索中使用喷灯对其实施虐待。,A Florida man has pleaded guilty to kidnapping a plastic surgeon who was tortured with a blowtorch in an extortion attempt.
"英国民航局表示，在托马斯库克旅游集团倒闭后，计划运营 72 驾次航班，将另外 16,000 名旅客接回英国。","The UK's Civil Aviation Authority said today that 72 flights are scheduled to operate to bring back a further 16,000 people to the country following the collapse of travel group Thomas Cook."
星期五，通贝里还参加了加大拿的气候抗议活动，当时联合国民航组织领导人正在蒙特利尔举行会议，讨论航空运输业的减排目标。,Thunberg was taking part in a protest in Canada on Friday where U.N. aviation leaders were gathering in Montreal to discuss plane emissions targets.
盖纳的提名是意料之中的事。他还需要获得参议院的多数票批准此次提名，方可出任署长一职。,Gaynor's nomination to the post was expected. He will require a majority of the Senate to approve the nomination to take the job.
之后他将女孩绑在树上并对其实施了性侵。,He then tied her to a tree and sexually assaulted her.
"虽然有各种条约在试图抑制这一威胁，但是如今，全世界已有大约 14,000 件核武器。","Various treaties have attempted to suppress that threat, yet today there are nearly 14,000 nuclear weapons based around the world."
他继续批评约翰逊，并呼吁建立工党政府,He goes on to criticise Mr Johnson and call for a Labour government.
在演奏完 1982 年经典曲目《卓越前线》后，达尔特雷宣布退出。他一直有嗓音问题，显然是在严格遵循其外科医生的建议。,"After playing classic 1982 track Eminence Front, Daltrey called it quits. he has struggled with vocal issues and apparently is under strict instructions from his surgeon."
据新闻媒体报道，39 岁的杰朗泰·凯恩星期四被判刑，罪名包括在 2017 年袭击 42 岁的妮可·戈登时持有枪支的重罪。,News outlets report 39-year-old Jerrontae Cain was sentenced Thursday on charges including being a felon in possession of a gun in the 2017 attack on 42-year-old Nicole Gordon.
这家公司的成立要归功于太阳计算机系统的联合创始人安迪·贝托尔斯海姆投资了 10 万美元； 1999 年 6 月，该公司从红杉资本和凯鹏华盈筹集了 2500 万美元。谷歌于同年迁至山景办公室，目前仍在那里。2001 年，公司的技术被授予专利。,"The company got its start thanks to Sun co-founder Andy Bechtolsheim who invested $100,000; in June 1999, the company had raised a $25 million round from Sequoia Capital and Kleiner Perkins. Google moved to its Mountain View location in the same year, where it remains. In 2001, the company was granted a patent for its technology."
这位英国巨星告知观众，他无法完成表演：“如果我继续为你们表演，我会受伤。我觉得最好是见好就收......上次，我在医院住了一个月，我不想再去了。对不起。”,"The British star told the crowd he couldn't go on with the show: ""If I carry on trying to do what I'm doing for you, I'm going to damage myself. I think I should quit while I'm ahead... Last time, I ended up in hospital for a month and I'm not going there again. Sorry."""
风暴产生的巨浪可能会在向风群岛和南美洲东北部造成危及生命的海浪和激流。,Swells generated by the storm could cause life-threatening surf and rip currents in the Windward Islands and northeastern South America.
正如波特兰州立大学的另一名信息技术工作者亚历杭德罗·塞古拉所说：“我愿意参加罢工，因为我认为向人们支付的工资无法保证他们在所服务城市的生活，这是不公平的。” 波特兰州立图书馆工作人员特蕾莎·斯塔克尔伯格则说得更为直接：“我想要罢工，因为我已经在这里工作 24 年了，我需要加薪，我要养家糊口。”,"As Alejandro Segurra, another IT worker at Portland State University, said, ""I'm willing to go on strike because I don't think it's fair that people are paid wages that don't allow them to live in the city that they serve."" Portland State library worker Theresa Stapleburg was even more direct: ""I want to strike because I've been here 24 years, and I need a raise - a living wage."""
德国伯恩哈德·诺克特热带医学研究所的乔纳斯·施密特·查纳西特表示：“由于气候变化，过去两年内，夏季异常炎热，显然加速了西尼罗河病毒在阿尔卑斯山北部的传播。”,"Jonas Schmidt-Chanasit of Germany's Bernhard Nocht Institute tropical medicine center said that ""the unusually warm summers of the last two years, triggered by climate change, apparently have contributed to WNV establishing itself north of the Alps."""
两极上方天空中会出现壮观的极光，是这种现象最美丽的景致。,The beautiful side of such phenomena are the spectacular Northern Lights in the sky above the poles.
在新一季真人秀《与卡戴珊一家同行》 系列 16 预告片中，因男友特里斯坦·汤普森的出轨，科勒·卡戴珊泪流满面失声痛哭,Khloe Kardashian breaks down in tears and screams at cheating boyfriend Tristan Thompson in new Keeping Up With The Kardashians series 16 trailer
这项评选进一步褒扬了最佳本科生的校内学术表现，并协助学生和世界各地的应届毕业生搭建了协作的桥梁。,The competition further celebrates top undergraduate coursework and helps create collaborations between students and recent graduates worldwide.
他说：“世界正面临着各种各类棘手的问题，这对你们中的任何一个人来说都不是什么新闻，最能意识到这一点的是当今的年轻人，他们将继承这个世界。,"He said: ""It's no news to any of you that the world is facing great, great problems and the most aware of that are the young people of today, who will inherit this world."
正如嘎嘎小姐在她 2008 年的热门歌曲《罗曼死》中所唱：“走，走，时尚宝贝。”,"As Lady Gaga once sang in her 2008 hit ""Bad Romance"": ""Walk, walk, fashion, baby."""
宣判流程从星期一开始。哈斯克尔的辩护律师尼尔·戴维斯三世说，他的团队将努力“免他一死。这是我们的工作，”据 KPRC 报道。,"The sentencing phase begins Monday. Haskell defense attorney Neil Davis III said his team will work ""to save his life. That's our job,"" according to KPRC."
沙特阿拉伯投资数十亿美元，旨在从零开始打造旅游业。,Saudi Arabia has splurged billions in an attempt to build a tourism industry from scratch.
伊朗上个星期五释放了一艘挂有英国国旗的油轮，此前两个月，伊朗因该油轮违反国际法涉嫌进入伊朗水域将其扣押。,"Iran released a British-flagged oil tanker on Friday, two months after it captured the vessel for allegedly entering its waters in violation of international law."
托马斯·库克深陷破产引发了一场激烈的指责游戏，董事会成员、政府部长和审计人员都需要对集团破产前几个月各自的行为进行解释。,"Thomas Cook's descent into insolvency has sparked a bitter blame game, with board members, government ministers and auditors all facing demands to explain their actions in the months before its collapse."
"他表示，根据“到 2030 年狂犬病零死亡全球战略计划”，“每年有 500,000 人死于狂犬病，其中 40% 是生活在亚洲和非洲的儿童”，他呼吁采取全面措施来应对这种情况，保护儿童远离狂犬病。","According to him, the 'Zero by 30' Global Strategic Plan ""of the 500,000 people who died from rabies each year, 40 per cent are children living in Asia and Africa,"" and called for holistic approach to deal with the situation to save kids from rabies."
萨里学生会主席艾伦·萨瑟兰表示：“我们已意识到这一行为的不当，随着调查的开展，根据学生纪律条例，任何被指责“严重”过错的学生，都将被移交给学校调查。”,"Alan Sutherland, chief executive of Surrey's student unions said: ""We became aware of the misconduct, and as investigations proceeded any individual students who were accused of committing a ""major"" offence as per the student disciplinary regulations were referred to a university investigation."""
2017 年，沙特宣布了一项耗资数十亿美元的项目，将红海 50 个岛屿和其它原始遗址打造成豪华度假村。,"In 2017, the kingdom announced a multi-billion dollar project to turn 50 islands and other pristine sites on the Red Sea into luxury resorts."
该天文学家团队的领导人是日本国家天文台的 日本学术振兴会研究员裕一直大，他解释道:“原星系团是一种罕见而特殊的密度极高的星系系统，非常难以发现。为了解决这一问题，我们使用了斯巴鲁望远镜的宽视场来绘制天空的大范围地图，并寻找原始星团。”,"Yuichi Harikane, a JSPS fellow at the National Astronomical Observatory of Japan who led the team of astronomers explains, ""A protocluster is a rare and special system with an extremely high density, and not easy to find. To overcome this problem, we used the wide field of view of the Subaru Telescope to map a large area of the sky and look for protoclusters."""
他继续说道：“几十年来，教育工作者一直受到攻击。我们终于站起来反击了。企业高管们看到他们相对招人嫉恨的薪酬不断以高于通货膨胀的速度上涨时，对阶级歧视和中产阶级受到挤压就能平和面对了。但是在教育界发生同样的事，工作人员不会继续容忍。”,"""Education workers have been under attack for decades,"" he continued. ""We are finally standing up and fighting back. It's one thing to see classism and the squeezing of the middle class in the corporate world as executives see their relatively obscene pay continue to go up at rates above inflation. But for the same thing to be happening in education is not something workers will continue to tolerate."""
雾化产品（一种用于吸食的尼古丁、水、溶剂和香料的混合物）被视为吸烟的替代品，可以帮助戒烟，但其安全性还未完全确定。,"Vaping - which involves inhaling a mix typically made of nicotine, water, solvents and flavours - is seen as an alternative to smoking which can help you quit, but its safety is still not entirely known."
白宫表示，在 2018 年担任管理署副署长职位前，盖纳曾在罗德岛的应急管理部门工作，并曾在美国海军服役。,"Before becoming FEMA's deputy administrator in 2018, Gaynor worked in emergency management in Rhode Island and was a Marine, the White House said."
托马斯·库克养老金受托人策划支出挽救协议,Thomas Cook pension trustees plot deal to salvage payouts
荷兰政府承诺到 2030 年将 1990 年的二氧化碳排放量减半，但到 2017 年只实现了 13% 的减排。,"The government has pledged to halve CO2 emissions from 1990 levels by 2030, but by 2017 had only achieved a 13 percent cut."
虽然大多数患者都曾报告使用过含有四氢大麻酚（大麻中的一种精神活性化合物）产品，但星期三在乔治亚州死亡患者据报告，仅“大量吸食过雾化产品”。,"While most patients have reported a history of using products containing THC, the psychoactive compound in cannabis, the patient who died in Georgia on Wednesday reported only ""heavy nicotine vaping."""
最初，这个搜索引擎被称为“网络爬虫”，后来改名为“谷歌”。,"Initially, the search engine was called ""BackRub"" and it was later renamed ""Google."""
Electrek 网站表示此消息是从一封马斯克发给特斯拉员工的电子邮件中泄露出来的。马斯克在这封电子邮件中写道：“我们有望在这个季度首次交付 10 万辆汽车，对我们公司而言，这是一个激动人心的里程碑！”,"Electrek attributed the update to a leaked email from Musk sent to his employees at Tesla. Musk wrote in the email: ""We have a shot at achieving our first 100,000 vehicle delivery quarter, which is an incredibly exciting milestone for our company!"""
这只幼崽很健康，并且被看护的很好，从照片中可以看到，它对自己周围的环境很好奇并且和妈妈一起睡在一张稻草床上。,"The youngster, who is healthy and nursing well, can be seen wondering about her enclosure before resting alongside her mother on a bed of straw."
哈里身穿光环信托组织 (HALO Trust) 提供的亮蓝色防护背心，圆满继承母亲的遗志。二十二年前，戴安娜王妃曾在一条类似的道路上留下了足迹，穿过安哥拉的一片埋有致命地雷的区域，这些地雷都是内战时期遗留下来的。这成为她短暂一生中最具标志性的画面之一。,"Diana's legacy was brought full circle when Harry donned the distinctive blue body armor of the HALO Trust. Twenty-two years ago, Diana took a similar path across an Angolan field scattered with deadly landmines, left over from years of civil war. It became one of the most iconic images of her short life."
蓬佩奥还呼吁阿萨德政府释放数千名被不公正拘留的囚犯，其中包括失踪的美国记者奥斯汀·提斯，他被政府推定关押了 7 年。,"Pompeo also called on the Assad government to release thousands of unjustly detained prisoners, including American journalist Austin Tice, who has been missing and presumed held by the government for seven years."
疾病控制和预防中心有 100 多名官员在调查这种神秘疾病的原因，并警告市民在掌握更多情况之前不要吸烟电子烟产品，特别是改装或“街头”购买的产品。,"The Centres for Disease Control and Prevention (CDC) has more than 100 officials investigating the cause of the mystery illness, and has warned citizens against smoking e-cigarette products until more is known, particularly if modified or bought ""off the street."""
